CVR;Regnskabsår;Påtale (y/n);Antal påtaler;Kontrolår;Revisionsvirksomhed;CVR_Rev_VK;MNE 1
10008123;2013;1;2;2014;HAAMANN A/S, STATSAUTORISEREDE REVISORER;24256995;mne3749
10012597;2014;0;0;2015;MPB Consult v/Mathias Peder Attermann Brinch;30956400;mne369
10035163;2012;0;0;2014;BJERRE MØLLER PEDERSEN & BERING I/S;10475686;mne4493
10045355;2013;0;0;2014;ADDERE REVISION STATSAUTORISERET REVISIONSPARTNERSELSKAB;34589992;mne5525
10048168;2013;0;0;2014;AAGE MAAGENSEN STATSAUTORISERET REVISIONSAKTIESELSKAB;12901038;mne26784
10054826;2014;0;0;2015;LandboNord;25049608;mne5698
10057450;2013;0;0;2014;HØFFNER REVISION A/S OFFENTLIGT GODKENDTE REVISORER;76637415;mne502
10063116;2012/13;0;0;2014;LUND & Tjørring CHRISTIANSEN I/S (tidl. Lund & Christiansen);10623685;mne1277
10066611;2012/13;0;0;2014;Loydd Eriksen registreret revisor;27791549;?
10080665;2014;1;1;2015;SKOV REVISION REGISTRERET REVISIONSANPARTSSELSKAB;27525989;mne16912
10083257;2013/14;0;0;2015;BILLE & BUCH-ANDERSEN REGISTRERET REVISIONSAKTIESELSKAB;18282046;mne4598
10087074;2012/13;0;0;2014;JBC Revision v/Jørgen Christensen;25979907;mne16176
10090466;2013;0;0;2014;KALLERMANN REVISION A/S STATSAUTORISERET REVISIONSFIRMA;30195264;mne34380
10102626;2013;0;0;2014;LYNGEN REVISORERNE, STATSAUTORISERET REVISIONSANPARTSSELSKAB;28849540;mne18500
10109469;2014;0;0;2015;Krøyer Pedersen Statsautoriserede Revisorer I/S;89224918;mne29385
10117224;2015;0;0;2016;KPMG, Statsautoriseret Revisionspartnerselskab;25578198;mne34281
10121515;2014;0;0;2015;RASMUSSEN REVISION, STATSAUTORISERET REVISIONSANPARTSSELSKAB;46408314;mne9096
10122120;2012/13;0;0;2014;DANSK REVISION AALBORG REGISTRERET REVISIONSAKTIESELSKAB;17835998;mne987
